outlet,date,headline,url,summary,predicted_label,predicted_confidence,predicted_probs,model_version,label,comment,labelled_by,labelled_at,cluster_id
Kurir,2026-09-16,"VELIČANSTVEN PRIZOR U SRCU BEOGRADA! Svi zajedno pod jednom jedinom srpskom trobojkom! Ovako se voli otadžbina, zastavi se ne vidi kraj! (VIDEO)",https://www.kurir.rs/vesti/politika/10106029/srpska-zastava-proneta-beogradom,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung1-rules,nothing,(LLM) Patriotic unity celebration - no discrediting or hostile framing of any category target.,claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,"""NEPRAVEDNO, PREDUZEĆEMO SVE DA UKINEMO OVE PRESUDE"" Šok i gnev u Prištini zbog kazni za Tačija i ostale, Haradinaj najavio drugostepeni postupak",https://www.kurir.rs/vesti/politika/10106014/reakcije-iz-pristine-na-presudu-taciju-i-ostalima-u-hagu,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung1-rules,vilifying_neighbours,(LLM) Frames Kosovo institutions' reaction to the OVK war-crimes verdict as sympathetic to convicted criminals.,claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,"LAŽU U NASLOVU, LAŽU U TEKSTU, ALI ČINJENICE IH DEMANTUJU: Vodeća svetska agencija pohvalila srpsku privredu, a N1 od svega napravio „NEIZVESNE IZBORE“!",https://www.kurir.rs/vesti/politika/10105937/vodeca-svetska-agencija-pohvalila-srpsku-privredu-a-n1-od-svega-napravio-neizvesne-izbore,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung1-rules,vilifying_opponents,(LLM) Accuses N1 (opposition-aligned outlet) of lying about the economy.,claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,"NISMO NI SUMNJALI DA ĆE OVAKVA ""GROMADA"" STATI IZA BLOKADERA! Crnogorac koji podržava Srdanovića mrzi SPC, slavi lažnu državu Kosovo, divljao po Vatikanu (FOTO)",https://www.kurir.rs/vesti/politika/10105965/ko-je-miodrag-vlahovic-crnogorac-koji-je-podrzao-iliju-srdanovica,,vilifying_opponents,1.0,"{""vilifying_opponents"": 1.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 0.0}",rung1-rules,vilifying_opponents,(LLM) Discredits blokader candidate Srdanovic via a supporter's anti-SPC/pro-Kosovo-independence views.,claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,TAČNO U 18.3O SATI: Predsednik Vučić obraća se naciji povodom presuda zločincima OVK,https://www.kurir.rs/vesti/politika/10105951/predsednik-vucic-obraca-se-povodom-presuda-zlocincima-ovk,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung1-rules,nothing,"(LLM) Routine announcement of a presidential address, no manipulative framing.",claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,"PRESUDA VOĐAMA ZLOČINAČKE OVK, SVA ČETVORICA KRIVA ZA RATNE ZLOČINE: Hašimu Tačiju i Jakupu Krasnićiju po 25 godina zatvora! Veseljiju 18, Seljimiju 13! (VIDEO)",https://www.kurir.rs/vesti/politika/10105707/presuda-hasim-taci-ovk-zlocini-kim,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung1-rules,nothing,(LLM) Factual reporting of an actual Hague war-crimes verdict.,claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,PRVI NA BLOKADERSKOJ LISTI OTVORENO TARGETIRAO STUDENTE! Srdanović ugrozio bezbednost akademaca jer NISU HTELI DA BUDU PLENUMAŠI (FOTO),https://www.kurir.rs/vesti/politika/10105868/kako-je-srdanovic-javno-targetirao-studente-koji-nisu-blokaderi,,vilifying_opponents,1.0,"{""vilifying_opponents"": 2.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 0.0}",rung1-rules,vilifying_opponents,(LLM) Accuses Srdanovic of targeting/endangering non-blokader students.,claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,"DOKLE VIŠE DVOSTRUKI ARŠINI?! Briselu ne smeta sahrana krvnika Dinka Šakića u ustaškoj uniformi i veličanje ubica iz OVK, ali prete Srbiji zbog Mladića! (VIDEO)",https://www.kurir.rs/vesti/politika/10105877/briselu-ne-smeta-sahrana-sakica-u-ustaskoj-uniformi-ali-prete-srbiji-zbog-ratka-mladica,,vilifying_neighbours,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 1.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 0.0}",rung1-rules,vilifying_eu,"(LLM) Accuses Brussels of double standards, hypocritical toward Serbia vs. Croatia.",claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,"""SRBIJU MORA DA VODI CRNOGORAC, NEIZBEŽNO!"" Najveći crnogorski separatista podržao Srdanovića, prvog na blokaderskoj listi (FOTO)",https://www.kurir.rs/vesti/politika/10105856/Vlahovic-podrzao-Srdanovica-Crnogorac-na-celu-Srbije,,vilifying_opponents,1.0,"{""vilifying_opponents"": 1.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 0.0}",rung1-rules,vilifying_opponents,(LLM) Ties Srdanovic's candidacy to a Montenegrin separatist's endorsement.,claude-sonnet-5,2026-09-16T15:22:06,
Kurir,2026-09-16,"""UDALJITE SE ILI ĆEMO UPOTREBITI SILU"" Haška policija u opremi za razbijanje demontracija ispred suda gde se čeka presuda vođama OVK, Tačiju i još trojici VIDEO",https://www.kurir.rs/vesti/politika/10105837/desavanja-ispred-suda-u-hagu-koji-izrice-presudu-taciju,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung1-rules,nothing,(LLM) Factual reporting on Hague court security measures.,claude-sonnet-5,2026-09-16T15:22:06,
