,Naslov,Kategorija
0,"Spoljnotrgovinski deficit u junu 4,7 milijardi dolara",ekonomija
1,Svetske berze: Pretnje carinama ponovo u fokusu ulagača,ekonomija
2,Pregovori počeli,politika
3,"FIBA odredila sudije za EP: Srbija će imati dva predstavnika, a tu je i omraženi arbitar iz Pariza",sport
4,"Šok rezultat! Srbija ponizila Albaniju: Ovakvo ""odvaljivanje"" se ne pamti na Evropskim prvenstvima",sport
5,Podsetnik za Nagetse: Oglasili se iz Denvera zbog Jokićevog nastupa na Evrobasketu (FOTO),sport
6,VN Mađarske: Žestoka borba Meklarenovih vozača i pobeda Landa Norisa,sport
7,[ŠOK] Nemoguće šta se dešava... Nikad pre viđeno... JOJ,ekonomija
8,"Švajcarski sir na udaru: Tramp uvodi carinu od 39 odsto, proizvođači u šoku",ekonomija
9,Investicije rastu  ,ekonomija
10,Nenad Lalović novi potpredsednik Asocijacije međunarodnih federacija letnjih olimpijskih sportova,sport
11,Janković (CWP Europe): Očekuje se da bi prvi PPA ugovor mogao biti do kraja godine,ekonomija
12,Marionetski model po diktatu EU: Kako Dolovac i Nenadić sprovode scenario Laure Koveši u Srbiji,politika
13,Krčka se u Milanu: Vlasnici fudbalskog kluba sastavljaju košarkaški tim?,sport
14,Pokrenut projekat „eUprava za sve“,ekonomija
15,„Srbija carinom od 35 odsto kažnjena zbog parnterstva sa Rusijom“: Firme razmišljaju o preseljenju proizvodnje,ekonomija
16,Igrokaz?! Raspala opozicija se dodatno podelila,politika
17,Blagojević pred Radnički o aktuelnom trenutku: Nema prostora za euforiju,sport
18,Uskoro biznis klasa prvi put na srpskoj železnici: Predstoji modernizacija Gošinih vagona vredna 25 miliona evra,ekonomija
19,"Sprema se još jedan odlazak sa ""Marakane"" - Defanzivac čekira kartu za Skandinaviju",sport
20,New Legislation Targets Cryptocurrency Tax Evasion,ekonomija
21,Milica Delević nova generalna sekretarka Evropske banke za obnovu i razvoj,ekonomija
22,Na kom je mestu Orion telekom po broju korisnika u Srbiji?,ekonomija
