outlet,date,headline,label,cluster_id,source_url
Kurir,2026-01-09,Kurir istražuje ko stoji iza tajnog projekta 'REMont' - Građanske inicijative preuzele su ulogu države i time podrile evropski put Srbije.,vilifying_opponents,1,https://crta.plus/sr/updates/january-manipulations/
Kurir,2026-01-12,Profiteri: Građanske inicijative kritikuju Srbiju dok uzimaju njen novac.,vilifying_opponents,2,https://crta.plus/sr/updates/january-manipulations/
Kurir,2026-01-14,"Dobijaju milion evra godišnje, a gde su rezultati? … donatorski milioni i nikakav doprinos …",vilifying_opponents,3,https://crta.plus/sr/updates/january-manipulations/
Srpski Telegraf,2026-01-19,Brutalna kampanja blokadera… Glavna laž: Vučić nije čovek… dehumanizacija… 'obojena revolucija'.,vilifying_opponents,4,https://crta.plus/sr/updates/january-manipulations/
Kurir,2026-01-19,Tužioci traže podršku protiv Srbije… Dolovac preti nemačkom ambasadom!,vilifying_opponents,5,https://crta.plus/sr/updates/january-manipulations/
Alo!,2026-01-19,Tužioci traže podršku protiv Srbije… Dolovac preti nemačkom ambasadom!,vilifying_opponents,5,https://crta.plus/sr/updates/january-manipulations/
Informer,2026-01-13,Priprema se napad na Srpsku crkvu. Vartolomej izbacuje Srpsku pravoslavnu crkvu iz Crne Gore.,vilifying_neighbours,6,https://crta.plus/sr/updates/january-manipulations/
Večernje Novosti,2026-01-13,Priprema se napad na Srpsku crkvu. Vartolomej izbacuje Srpsku pravoslavnu crkvu iz Crne Gore.,vilifying_neighbours,6,https://crta.plus/sr/updates/january-manipulations/
Alo!,2026-01-13,Priprema se napad na Srpsku crkvu. Vartolomej izbacuje Srpsku pravoslavnu crkvu iz Crne Gore.,vilifying_neighbours,6,https://crta.plus/sr/updates/january-manipulations/
TV B92,2026-01-13,Priprema se napad na Srpsku crkvu. Vartolomej izbacuje Srpsku pravoslavnu crkvu iz Crne Gore.,vilifying_neighbours,6,https://crta.plus/sr/updates/january-manipulations/
TV Prva,2026-01-13,Priprema se napad na Srpsku crkvu. Vartolomej izbacuje Srpsku pravoslavnu crkvu iz Crne Gore.,vilifying_neighbours,6,https://crta.plus/sr/updates/january-manipulations/
Politika,2026-01-10,Kako se delegacija EP sama pozvala u Beograd - Bes i nemoć 'kaznene ekspedicije' Tonina Picule.,vilifying_eu,7,https://crta.plus/sr/updates/january-manipulations/
Srpski Telegraf,2026-01-24,Poseta… upamćena po sramoti - Opozicija tražila od EU: Dajte novac nama i Šolaku…,vilifying_eu,8,https://crta.plus/sr/updates/january-manipulations/
Srpski Telegraf,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
Alo!,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
Politika,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
Večernje Novosti,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
Kurir,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
Informer,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
TV Pink,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
TV Prva,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
TV B92,2026-01-23,Picula i evroparlamentarci… tražili da ne ulaze u hol… želeći da izbegnu izložbu o žrtvama Jasenovca.,vilifying_eu,9,https://crta.plus/sr/updates/january-manipulations/
Alo!,2026-02-24,"Nakon napada na crkvu, blokaderi su se obrušili na vojsku; na skupu u Novom Sadu dočekali su srpskog oficira nacističkim pozdravom.",vilifying_opponents,10,https://crta.plus/sr/updates/manipulacije-u-februaru/
Srpski Telegraf,2026-02-24,"Nakon napada na crkvu, blokaderi su se obrušili na vojsku; na skupu u Novom Sadu dočekali su srpskog oficira nacističkim pozdravom.",vilifying_opponents,10,https://crta.plus/sr/updates/manipulacije-u-februaru/
TV Pink,2026-02-24,"Nakon napada na crkvu, blokaderi su se obrušili na vojsku; na skupu u Novom Sadu dočekali su srpskog oficira nacističkim pozdravom.",vilifying_opponents,10,https://crta.plus/sr/updates/manipulacije-u-februaru/
TV Prva,2026-02-24,"Nakon napada na crkvu, blokaderi su se obrušili na vojsku; na skupu u Novom Sadu dočekali su srpskog oficira nacističkim pozdravom.",vilifying_opponents,10,https://crta.plus/sr/updates/manipulacije-u-februaru/
Kurir,2026-02-18,Sramni udarac. Blokaderi su besmislenim nasiljem pogazili dva veka Matice srpske.,vilifying_opponents,11,https://crta.plus/sr/updates/manipulacije-u-februaru/
Politika,2026-02-18,Sramni udarac. Blokaderi su besmislenim nasiljem pogazili dva veka Matice srpske.,vilifying_opponents,11,https://crta.plus/sr/updates/manipulacije-u-februaru/
Večernje Novosti,2026-02-18,Sramni udarac. Blokaderi su besmislenim nasiljem pogazili dva veka Matice srpske.,vilifying_opponents,11,https://crta.plus/sr/updates/manipulacije-u-februaru/
Alo!,2026-02-18,Sramni udarac. Blokaderi su besmislenim nasiljem pogazili dva veka Matice srpske.,vilifying_opponents,11,https://crta.plus/sr/updates/manipulacije-u-februaru/
B92,2026-02-18,Sramni udarac. Blokaderi su besmislenim nasiljem pogazili dva veka Matice srpske.,vilifying_opponents,11,https://crta.plus/sr/updates/manipulacije-u-februaru/
TV Prva,2026-02-18,Sramni udarac. Blokaderi su besmislenim nasiljem pogazili dva veka Matice srpske.,vilifying_opponents,11,https://crta.plus/sr/updates/manipulacije-u-februaru/
TV Pink,2026-02-18,Sramni udarac. Blokaderi su besmislenim nasiljem pogazili dva veka Matice srpske.,vilifying_opponents,11,https://crta.plus/sr/updates/manipulacije-u-februaru/
TV Informer,2026-02-18,Sramni udarac. Blokaderi su besmislenim nasiljem pogazili dva veka Matice srpske.,vilifying_opponents,11,https://crta.plus/sr/updates/manipulacije-u-februaru/
Kurir,2026-02-05,"Trojni pakt: Priština, Zagreb i Tirana ujedinjeni u mržnji prema Srbiji!",vilifying_neighbours,12,https://crta.plus/sr/updates/manipulacije-u-februaru/
Večernje Novosti,2026-02-05,"Trojni pakt: Priština, Zagreb i Tirana ujedinjeni u mržnji prema Srbiji!",vilifying_neighbours,12,https://crta.plus/sr/updates/manipulacije-u-februaru/
Alo!,2026-02-06,Hrvatski novac se koristi za destabilizaciju Srbije.,vilifying_neighbours,13,https://crta.plus/sr/updates/manipulacije-u-februaru/
TV Pink,2026-03-03,"Stara mržnja, nova marioneta, isti rezultat. Niško raspeće kao simbol pada blokadera. Analitičari: Stvaraju društvenu psihozu po kojoj je ubojstvo Vučića legitimno",vilifying_opponents,14,https://crta.plus/sr/updates/march-manipulations/
Kurir,2026-03-03,"Stara mržnja, nova marioneta, isti rezultat. Niško raspeće kao simbol pada blokadera. Analitičari: Stvaraju društvenu psihozu po kojoj je ubojstvo Vučića legitimno",vilifying_opponents,14,https://crta.plus/sr/updates/march-manipulations/
Politika,2026-03-03,"Stara mržnja, nova marioneta, isti rezultat. Niško raspeće kao simbol pada blokadera. Analitičari: Stvaraju društvenu psihozu po kojoj je ubojstvo Vučića legitimno",vilifying_opponents,14,https://crta.plus/sr/updates/march-manipulations/
Alo!,2026-03-03,"Stara mržnja, nova marioneta, isti rezultat. Niško raspeće kao simbol pada blokadera. Analitičari: Stvaraju društvenu psihozu po kojoj je ubojstvo Vučića legitimno",vilifying_opponents,14,https://crta.plus/sr/updates/march-manipulations/
TV Pink,2026-03-18,Kakvi ste vi ljudi - Blokaderi preterali - Ismejavaju suze bolesnog deteta!,vilifying_opponents,15,https://crta.plus/sr/updates/march-manipulations/
Alo!,2026-03-18,Kakvi ste vi ljudi - Blokaderi preterali - Ismejavaju suze bolesnog deteta!,vilifying_opponents,15,https://crta.plus/sr/updates/march-manipulations/
Kurir,2026-03-18,Kakvi ste vi ljudi - Blokaderi preterali - Ismejavaju suze bolesnog deteta!,vilifying_opponents,15,https://crta.plus/sr/updates/march-manipulations/
TV Prva,2026-03-24,"Nedelju dana pred lokalne izbore, opozicija i blokaderi podeljeni više nego ikad, uz međusobne optužbe i sukobe uživo i na televiziji",vilifying_opponents,16,https://crta.plus/sr/updates/march-manipulations/
Alo!,2026-03-24,"Nedelju dana pred lokalne izbore, opozicija i blokaderi podeljeni više nego ikad, uz međusobne optužbe i sukobe uživo i na televiziji",vilifying_opponents,16,https://crta.plus/sr/updates/march-manipulations/
Kurir,2026-03-24,"Nedelju dana pred lokalne izbore, opozicija i blokaderi podeljeni više nego ikad, uz međusobne optužbe i sukobe uživo i na televiziji",vilifying_opponents,16,https://crta.plus/sr/updates/march-manipulations/
Informer,2026-03-24,"Nedelju dana pred lokalne izbore, opozicija i blokaderi podeljeni više nego ikad, uz međusobne optužbe i sukobe uživo i na televiziji",vilifying_opponents,16,https://crta.plus/sr/updates/march-manipulations/
TV Prva,2026-03-11,"Prljava kampanja najčešće se pojavljuje kada nema jasnih programa i konkretnih politika, kažu analitičari uoči lokalnih izbora 29. marta. Nesuglasice između blokadera i opozicije sve su vidljivije",vilifying_opponents,17,https://crta.plus/sr/updates/march-manipulations/
Informer,2026-03-12,Zagreb smeta što srpska vojska nikad nije bila jača: Ustaše u panici zbog srpskih raketa! Šok u Zagrebu nakon što se pojavila fotografija moćnih raketa CM-400 AKG na avionima MiG,vilifying_neighbours,18,https://crta.plus/sr/updates/march-manipulations/
Večernje Novosti,2026-03-12,Zagreb smeta što srpska vojska nikad nije bila jača: Ustaše u panici zbog srpskih raketa! Šok u Zagrebu nakon što se pojavila fotografija moćnih raketa CM-400 AKG na avionima MiG,vilifying_neighbours,18,https://crta.plus/sr/updates/march-manipulations/
Srpski Telegraf,2026-03-12,Zagreb smeta što srpska vojska nikad nije bila jača: Ustaše u panici zbog srpskih raketa! Šok u Zagrebu nakon što se pojavila fotografija moćnih raketa CM-400 AKG na avionima MiG,vilifying_neighbours,18,https://crta.plus/sr/updates/march-manipulations/
Srpski Telegraf,2026-03-15,Sve veći šok u Hrvatskoj - Histerija neprijatelja: Traže pomoć NATO-a zbog naših supermoćnih raketa,vilifying_neighbours,19,https://crta.plus/sr/updates/march-manipulations/
Informer,2026-03-18,"Sve opasniji signali iz Zagreba - Hrvati hoće da 'odrube glavu Vučiću'! - Ustaški mediji pišu da se nadaju da će predsednik Srbije biti ubijen kada 'blokaderi' dođu na vlast!? - Kampanju protiv Vučića nastavio je i Tonino Picula, koji je u Evropskom parlamentu izneo niz laži o našoj zemlji",vilifying_neighbours,20,https://crta.plus/sr/updates/march-manipulations/
Srpski Telegraf,2026-03-21,Mračne veze hrvatske Službe za sigurnosno-obavještajne poslove i pojedinih srpskih funkcionera. Agro-mafija radi za Hrvate. Isisavaju milijarde za finansiranje blokadera.,vilifying_neighbours,21,https://crta.plus/sr/updates/march-manipulations/
TV Pink,2026-03-02,Priština ne prestaje s terorom; Paravan za odmazdu; Progon; Pet Srba uhapšeno u blizini Srbice,vilifying_neighbours,22,https://crta.plus/sr/updates/march-manipulations/
