outlet,date,headline,label,url,labelled_by,confidence
Kurir,2026-09-15,ČOVEK KOJI TUČE ŽENE PRVI NA TZV. STUDENTSKOJ LISTI: Ilija Srdanović štampačem gađao koleginice?!,vilifying_opponents,https://www.kurir.rs/vesti/politika/10104802/ilija-srdanovic-nasilje-i-skandali-prvog-na-studentskoj-listi,claude-sonnet-5,high
Kurir,2026-09-15,"BLOKADERI SE SMEJU DOK PREBROJAVU UMRLICE - ""JEDAN GLAS MANJE ZA VUČIĆA""! Horor snimak kruži mrežama: Raduju se tuđoj smrti kao političkom poenu",vilifying_opponents,https://www.kurir.rs/vesti/politika/10105032/blokaderi-se-smeju-dok-prebrojavaju-umrlice,claude-sonnet-5,high
Kurir,2026-09-15,PREDSEDNIK VUČIĆ Danas smo se okupili da proslavimo naše uskrsnuće i našu slobodu! Odlikovani vatrogasci koji su se lavovski borili u Deliblatskoj peščari!,nothing,https://www.kurir.rs/vesti/politika/10104848/aleksandar-vucic-odlikovanja-dan-srpskog-jedinstva-slobode-i-nacionalne-zastave,claude-sonnet-5,medium
Kurir,2026-09-15,PARANDILOVIĆ NE IZLAZI NA IZBORE! Potpuni raspad u redovima opozicije: Pokušaće da ubedi i Aleksića i Ćutu da se i oni povuku?!,vilifying_opponents,https://www.kurir.rs/vesti/politika/10104975/parandilovic-odustaje-od-izbora-raspad-opozicije,claude-sonnet-5,high
Kurir,2026-09-15,ODLOŽENO ROČIŠTE U POSTUPKU PROTIV SRBA OPTUŽENIH ZA RATNI ZLOČIN: Odbrana nije dobila spise predmeta,nothing,https://www.kurir.rs/vesti/politika/10104938/odlozeno-rociste-u-postupku-protiv-srba-optuzenih-za-ratni-zlocin,claude-sonnet-5,high
Kurir,2026-09-15,VUČIĆ RAZGOVARAO SA EMANUELOM ŽIOFREOM: Predsednik otkrio detalje važnog susreta (FOTO),nothing,https://www.kurir.rs/vesti/politika/10104929/detalji-sastanka-vucica-sa-emanuelom-ziofreom,claude-sonnet-5,medium
Kurir,2026-09-15,"VELIČANSTVENI PRIZORI IZ NOVOG SADA! Da se naježiš! Ovako omladina slavi Dan srpskog jedinstva, slobode i nacionalne zastave (VIDEO)",nothing,https://www.kurir.rs/vesti/politika/10104918/proslava-dana-srpskog-jedinstva-u-novom-sadu,claude-sonnet-5,medium
Kurir,2026-09-15,"JOŠ JEDAN ""USPEH"" BLOKADERA! Univerzitet u Beogradu ponovo pao na Šangajskoj listi: Sunovrat I U NAUČNIM POLJIMA!",vilifying_opponents,https://www.kurir.rs/vesti/politika/10104885/univerzitet-u-beogradu-ponovo-pada-na-sangajskoj-listi,claude-sonnet-5,high
Kurir,2026-09-15,"""MNOGO JE PRIMERA POPUT KOSOVA I METOHIJE"": Sergej Lavrov: Zapad voli selektivno da tumači Povelju UN",vilifying_eu,https://www.kurir.rs/vesti/politika/10104863/sergej-lavrov-mnogi-primeri-poput-kosova-i-metohije,claude-sonnet-5,medium
Kurir,2026-09-15,VELIKA VEST ZA SRBIJU! DOBILI SMO FINALE LIGE EVROPE 2029. U FUDBALU! Vučiću se na licu vide i ponos i sreća: Igraće se na Nacionalnom stadionu u Surčinu! VIDEO,nothing,https://www.kurir.rs/vesti/politika/10104883/vucic-beograd-domacin-finala-lige-evrope-2029,claude-sonnet-5,medium
Kurir,2026-09-15,"""SRBIJU NIJE MOGUĆE POKORITI SILOM"" Marija Zaharova: Srpski narod pokazao je ogromno herojstvo, posle svih iskušenja postao je jači",nothing,https://www.kurir.rs/vesti/politika/10104798/zaharova-srbija-nije-pokorena-silom,claude-sonnet-5,low
Kurir,2026-09-15,VLADAN PETROV: Zajednička sednica ustavnih sudova Srbije i Republike Srpske je istorijski događaj,nothing,https://www.kurir.rs/vesti/politika/10104773/istorijska-zajednicka-sednica-ustavnih-sudova-srbije-i-rs,claude-sonnet-5,high
Kurir,2026-09-15,"OVO JE ZA ŠEĆER I VODU! ""STUDENTI"" SU 1.750 GODINA STARIJI OD VUČIĆEVE LISTE?! Verovali ili ne, ""polovnjaci"" će da nas vode u budućnost!",vilifying_opponents,https://www.kurir.rs/vesti/politika/10104813/blokaderska-lista-starija-od-vuciceve-1-750-godina,claude-sonnet-5,high
Kurir,2026-09-15,"REPORTERKA N1 SE OSRAMOTILA UŽIVO! Umesto ""Bože pravde"", za novinarku blokaderske televizije himna je ""Tamo daleko""! (VIDEO)",vilifying_opponents,https://www.kurir.rs/vesti/politika/10104788/reporterka-n1-se-osramotila-za-nju-je-himna-srbije-mars-na-drinu,claude-sonnet-5,high
Kurir,2026-09-15,SUTRAŠNJA PRESUDA U HAGU ZA VOĐE ZLOČINAČKE OVK PRETI DA ZAPALI KOSOVO I METOHIJU! Srbi na udaru ako ekstremisti krenu u pohod,vilifying_neighbours,https://www.kurir.rs/vesti/politika/10104284/presuda-vodjama-ovk-opasnost-za-srbe-na-kosovu,claude-sonnet-5,medium
Kurir,2026-09-15,RIK UTVRDIO FINANSIJSKI PLAN: Donete odluke vezane za rad i sprovođenje izbora,nothing,https://www.kurir.rs/vesti/politika/10104698/na-sednici-rik-utvrdjen-finansijski-plan-za-sprovodjenje-parlamentarnih-izbora,claude-sonnet-5,high
